itemid,label,abbreviation,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue
225017,incision drainage #6,incision drainage #6,chartevents,skin - incisions,,text,,
225021,incision drainage amount #5,incision drainage amount #5,chartevents,skin - incisions,,text,,
225020,incision drainage amount #4,incision drainage amount #4,chartevents,skin - incisions,,text,,
228569,incision #5- cleanse,incision #5- cleanse,chartevents,skin - incisions,,text,,
225001,incision cleansing #5,incision cleansing #5,chartevents,skin - incisions,,text,,
225026,incision dressing #5,incision dressing #5,chartevents,skin - incisions,,text,,
225046,incision packing #5,incision packing #5,chartevents,skin - incisions,,text,,
228563,incision #5- location,incision #5- location,chartevents,skin - incisions,,text,,
229034,incision appearance #8,incision appearance #8,chartevents,skin - incisions,,text,,
229035,incision appearance #9,incision appearance #9,chartevents,skin - incisions,,text,,
225028,dressing status #2,dressing status #2,chartevents,skin - incisions,,text,,
227477,incision site #6,incision site #6,chartevents,skin - incisions,,text,,
224995,incision appearance #4,incision appearance #4,chartevents,skin - incisions,,text,,
228573,incision #3- treatment,incision #3- treatment,chartevents,skin - incisions,,text,,
229016,incision #8- location,incision #8- location,chartevents,skin - incisions,,text,,
224994,incision appearance #3,incision appearance #3,chartevents,skin - incisions,,text,,
225016,incision drainage #5,incision drainage #5,chartevents,skin - incisions,,text,,
229022,incision #10- cleanse,incision #10- cleanse,chartevents,skin - incisions,,text,,
229038,incision #8- dressing status,incision #8- dressing status,chartevents,skin - incisions,,text,,
228566,incision #2- cleanse,incision #2- cleanse,chartevents,skin - incisions,,text,,
225000,incision cleansing #4,incision cleansing #4,chartevents,skin - incisions,,text,,
227475,incision site #4,incision site #4,chartevents,skin - incisions,,text,,
229030,incision #9- treatment,incision #9- treatment,chartevents,skin - incisions,,text,,
224850,incision drainage amount #1,incision drainage amount #1,chartevents,skin - incisions,,text,,
229015,incision #7- location,incision #7- location,chartevents,skin - incisions,,text,,
229018,incision #10- location,incision #10- location,chartevents,skin - incisions,,text,,
225027,incision dressing #6,incision dressing #6,chartevents,skin - incisions,,text,,
228574,incision #4- treatment,incision #4- treatment,chartevents,skin - incisions,,text,,
228575,incision #5- treatment,incision #5- treatment,chartevents,skin - incisions,,text,,
225047,incision packing #6,incision packing #6,chartevents,skin - incisions,,text,,
224998,incision cleansing #2,incision cleansing #2,chartevents,skin - incisions,,text,,
225045,incision packing #4,incision packing #4,chartevents,skin - incisions,,text,,
228567,incision #3- cleanse,incision #3- cleanse,chartevents,skin - incisions,,text,,
229019,incision #7- cleanse,incision #7- cleanse,chartevents,skin - incisions,,text,,
229042,incision closure #8,incision closure #8,chartevents,skin - incisions,,text,,
225006,incision closure #4,incision closure #4,chartevents,skin - incisions,,text,,
229037,incision #7- dressing status,incision #7- dressing status,chartevents,skin - incisions,,text,,
225025,incision dressing #4,incision dressing #4,chartevents,skin - incisions,,text,,
228517,skin cleanse,skin cleanse,chartevents,skin - incisions,,text,,
228562,incision #4- location,incision #4- location,chartevents,skin - incisions,,text,,
229050,incision drainage amount #8,incision drainage amount #8,chartevents,skin - incisions,,text,,
225002,incision cleansing #6,incision cleansing #6,chartevents,skin - incisions,,text,,
225044,incision packing #3,incision packing #3,chartevents,skin - incisions,,text,,
227473,incision site #2,incision site #2,chartevents,skin - incisions,,text,,
225004,incision closure #2,incision closure #2,chartevents,skin - incisions,,text,,
229029,incision #8- treatment,incision #8- treatment,chartevents,skin - incisions,,text,,
224993,incision appearance #2,incision appearance #2,chartevents,skin - incisions,,text,,
224996,incision appearance #5,incision appearance #5,chartevents,skin - incisions,,text,,
225003,incision closure #6,incision closure #6,chartevents,skin - incisions,,text,,
228572,incision #2- treatment,incision #2- treatment,chartevents,skin - incisions,,text,,
229031,incision #10- treatment,incision #10- treatment,chartevents,skin - incisions,,text,,
229047,incision drainage #9,incision drainage #9,chartevents,skin - incisions,,text,,
224042,incision dressing #1,incision dressing #1,chartevents,skin - incisions,,text,,
228561,incision #3- location,incision #3- location,chartevents,skin - incisions,,text,,
229033,incision appearance #7,incision appearance #7,chartevents,skin - incisions,,text,,
229049,incision drainage amount #7,incision drainage amount #7,chartevents,skin - incisions,,text,,
229051,incision drainage amount #9,incision drainage amount #9,chartevents,skin - incisions,,text,,
228599,incision #6- dressing status,incision #6- dressing status,chartevents,skin - incisions,,text,,
229045,incision drainage #7,incision drainage #7,chartevents,skin - incisions,,text,,
224862,edema amount,edema amount,chartevents,skin - incisions,,text,,
227474,incision site #3,incision site #3,chartevents,skin - incisions,,text,,
228560,incision #2- location,incision #2- location,chartevents,skin - incisions,,text,,
228570,incision #6- cleanse,incision #6- cleanse,chartevents,skin - incisions,,text,,
227476,incision site #5,incision site #5,chartevents,skin - incisions,,text,,
225024,incision dressing #3,incision dressing #3,chartevents,skin - incisions,,text,,
229028,incision #7- treatment,incision #7- treatment,chartevents,skin - incisions,,text,,
229052,incision drainage amount #10,incision drainage amount #10,chartevents,skin - incisions,,text,,
225030,dressing status #4,dressing status #4,chartevents,skin - incisions,,text,,
225015,incision drainage #4,incision drainage #4,chartevents,skin - incisions,,text,,
225043,incision packing #2,incision packing #2,chartevents,skin - incisions,,text,,
224031,edema location,edema location,chartevents,skin - incisions,,text,,
225022,incision drainage amount #6,incision drainage amount #6,chartevents,skin - incisions,,text,,
225029,dressing status #3,dressing status #3,chartevents,skin - incisions,,text,,
228596,incision #3- dressing status,incision #3- dressing status,chartevents,skin - incisions,,text,,
229021,incision #9- cleanse,incision #9- cleanse,chartevents,skin - incisions,,text,,
225007,incision closure #5,incision closure #5,chartevents,skin - incisions,,text,,
225032,dressing status #6,dressing status #6,chartevents,skin - incisions,,text,,
229040,incision #10- dressing status,incision #10- dressing status,chartevents,skin - incisions,,text,,
229046,incision drainage #8,incision drainage #8,chartevents,skin - incisions,,text,,
224999,incision cleansing #3,incision cleansing #3,chartevents,skin - incisions,,text,,
225014,incision drainage #3,incision drainage #3,chartevents,skin - incisions,,text,,
228598,incision #5- dressing status,incision #5- dressing status,chartevents,skin - incisions,,text,,
224041,incision drainage #1,incision drainage #1,chartevents,skin - incisions,,text,,
224848,incision appearance #1,incision appearance #1,chartevents,skin - incisions,,text,,
228594,incision #1- dressing status,incision #1- dressing status,chartevents,skin - incisions,,text,,
224997,incision appearance #6,incision appearance #6,chartevents,skin - incisions,,text,,
229017,incision #9- location,incision #9- location,chartevents,skin - incisions,,text,,
224040,incision closure #1,incision closure #1,chartevents,skin - incisions,,text,,
225005,incision closure #3,incision closure #3,chartevents,skin - incisions,,text,,
225013,incision drainage #2,incision drainage #2,chartevents,skin - incisions,,text,,
228528,skin treatment,skin treatment,chartevents,skin - incisions,,text,,
228568,incision #4- cleanse,incision #4- cleanse,chartevents,skin - incisions,,text,,
228576,incision #6- treatment,incision #6- treatment,chartevents,skin - incisions,,text,,
224044,incision packing #1,incision packing #1,chartevents,skin - incisions,,text,,
225031,dressing status #5,dressing status #5,chartevents,skin - incisions,,text,,
225018,incision drainage amount #2,incision drainage amount #2,chartevents,skin - incisions,,text,,
229020,incision #8- cleanse,incision #8- cleanse,chartevents,skin - incisions,,text,,
229039,incision #9- dressing status,incision #9- dressing status,chartevents,skin - incisions,,text,,
229041,incision closure #7,incision closure #7,chartevents,skin - incisions,,text,,
229043,incision closure #9,incision closure #9,chartevents,skin - incisions,,text,,
228463,acuity (gen proc),acuity (gen proc),chartevents,generic proc note,,text,,
228469,site cleansed with chloraprep (gen proc),site cleansed with chloraprep (gen proc),chartevents,generic proc note,,text,,
228474,patient position (gen proc),patient position (gen proc),chartevents,generic proc note,,text,,
228485,complications (gen proc),complications (gen proc),chartevents,generic proc note,,text,,
229197,specrectolabbyother (gen proc)old,specrectolabbyother (gen proc)old,chartevents,generic proc note,,text,,
229192,specrecbyhand (gen proc),specrecbyhand (gen proc),chartevents,generic proc note,,text,,
230072,documented on dc summary (genproc),documented on dc summary (genproc),chartevents,generic proc note,,text,,
228471,barrier precautions (gen proc),barrier precautions (gen proc),chartevents,generic proc note,,text,,
229193,specreclabeled (gen proc),specreclabeled (gen proc),chartevents,generic proc note,,text,,
228456,location (gen proc),location (gen proc),chartevents,generic proc note,,text,,
228475,side (gen proc),side (gen proc),chartevents,generic proc note,,text,,
228465,timeout performed by (gen proc),timeout performed by (gen proc),chartevents,generic proc note,,text,,
228476,with ultrasound (gen proc),with ultrasound (gen proc),chartevents,generic proc note,,text,,
228467,verification (gen proc),verification (gen proc),chartevents,generic proc note,,text,,
228482,dressing applied (gen proc),dressing applied (gen proc),chartevents,generic proc note,,text,,
228468,hand cleansing (gen proc),hand cleansing (gen proc),chartevents,generic proc note,,text,,
228473,conscious sedation (gen proc),conscious sedation (gen proc),chartevents,generic proc note,,text,,
228483,follow up xray (gen proc),follow up xray (gen proc),chartevents,generic proc note,,text,,
228460,indication (gen proc),indication (gen proc),chartevents,generic proc note,,text,,
229196,specrectolabby (gen proc),specrectolabby (gen proc),chartevents,generic proc note,,text,,
229194,specrecpoe (gen proc),specrecpoe (gen proc),chartevents,generic proc note,,text,,
228466,patient identified correctly (gen proc),patient identified correctly (gen proc),chartevents,generic proc note,,text,,
228462,patient (gen proc),patient (gen proc),chartevents,generic proc note,,text,,
224618,patient identified correctly (pa line),patient identified correctly (pa line),chartevents,pa line insertion,,text,,
229725,ultrasound images stored (pacath),ultrasound images stored (pacath),chartevents,pa line insertion,,text,,
224479,complications (pa line),complications (pa line),chartevents,pa line insertion,,text,,
224624,barrier precautions in place (pa line),barrier precautions in place (pa line),chartevents,pa line insertion,,text,,
229718,manometry (pacath),manometry performed (pacath),chartevents,pa line insertion,,text,,
224478,type of catheter (pa line),type of catheter (pa line),chartevents,pa line insertion,,text,,
224617,timeout performed by (pa line),timeout performed by (pa line),chartevents,pa line insertion,,text,,
228118,fick (pa line),fick (pa line),chartevents,pa line insertion,,text,,
224619,verification of (pa line),verification of (pa line),chartevents,pa line insertion,,text,,
224469,medications / anesthetic (pa line),medications / anesthetic (pa line),chartevents,pa line insertion,,text,,
228116,sterile field maintained throughout procedure (pa line),sterile field throughout procedure (paline),chartevents,pa line insertion,,text,,
228121,pa line ordered on poe,pa line ordered on poe,chartevents,pa line insertion,,text,,
228117,thermodilution (pa line),thermodilution (pa line),chartevents,pa line insertion,,text,,
225629,guidewire (pa line),guidewire (pa line),chartevents,pa line insertion,,text,,
229724,ultrasound images probe covered (pacath),ultrasound images probe covered (pacath),chartevents,pa line insertion,,text,,
229723,ultrasound images printed (pacath),ultrasound images printed (pacath),chartevents,pa line insertion,,text,,
229719,manometry method (pacath),method (pacath),chartevents,pa line insertion,,text,,
228122,follow-up x-rayordered (pa line),follow-up x-rayordered (pa line),chartevents,pa line insertion,,text,,
225633,acuity (pa line),acuity (pa line),chartevents,pa line insertion,,text,,
228113,insertion kit used (pa line),insertion kit used (pa line),chartevents,pa line insertion,,text,,
228120,transparent dressing applied and dated (pa line),transparent dressing  (pa line),chartevents,pa line insertion,,text,,
225623,number of attempts require to place line (pa line),number of attempts require to place line (pa line),chartevents,pa line insertion,,text,,
228114,hand cleansing prior to procedure (pa line),hand cleansing prior to procedure (pa line),chartevents,pa line insertion,,text,,
226007,number of operators (pa line),number of operators (pa line),chartevents,pa line insertion,,text,,
224476,insertion site (pa line),insertion site (pa line),chartevents,pa line insertion,,text,,
229727,ultrasound images used for preproc assess (pacath),ultrasound images used for preproc assess (pacath),chartevents,pa line insertion,,text,,
225631,side (pa line),side (pa line),chartevents,pa line insertion,,text,,
229720,ultrasound (pacath),ultrasound (pacath),chartevents,pa line insertion,,text,,
229722,ultrasound images interpreted (pacath),ultrasound images interpreted (pacath),chartevents,pa line insertion,,text,,
228115,site cleansed with chloraprep(tm) (pa line),site cleansed with chloraprep(tm) (pa line),chartevents,pa line insertion,,text,,
225615,location (pa line),location (pa line),chartevents,pa line insertion,,text,,
230075,documented on dc summary (pa),documented on dc summary (pa),chartevents,pa line insertion,,text,,
225630,ultrasound (pa line),ultrasound (pa line),chartevents,pa line insertion,,text,,
229726,ultrasound images uploaded (pacath),ultrasound images uploaded (pacath),chartevents,pa line insertion,,text,,
224472,indications (pa line),indications (pa line),chartevents,pa line insertion,,text,,
224059,braden friction/shear,braden friction/shear,chartevents,skin - assessment,,text,,
224055,braden moisture,braden moisture,chartevents,skin - assessment,,text,,
229864,pressure injury location,pressure injury location,chartevents,skin - assessment,,text,,
224860,skin condition,skin condition,chartevents,skin - assessment,,text,,
224057,braden mobility,braden mobility,chartevents,skin - assessment,,text,,
224056,braden activity,braden activity,chartevents,skin - assessment,,text,,
224027,skin temperature,skin temp,chartevents,skin - assessment,,text,,
224028,skin color,skin color,chartevents,skin - assessment,,text,,
224026,skin integrity,skin integrity,chartevents,skin - assessment,,text,,
224058,braden nutrition,braden nutrition,chartevents,skin - assessment,,text,,
229868,risk factors for pressure injury,risk factors for pressure injury,chartevents,skin - assessment,,text,,
229866,checklist,checklist,chartevents,skin - assessment,,text,,
229869,pressure injury prevention interventions,pressure injury prevention interventions,chartevents,skin - assessment,,text,,
224054,braden sensory perception,braden sensory perception,chartevents,skin - assessment,,text,,
227781,impaired skin  - dressing status #2,impaired skin  - dressing status #2,chartevents,skin - impairment,,text,,
228532,impaired skin #4- treatment,impaired skin #4- treatment,chartevents,skin - impairment,,text,,
228577,impaired skin #2- type,impaired skin #2- type,chartevents,skin - impairment,,text,,
228803,pressure ulcer #1- dressing status,pressure ulcer #1- dressing status,chartevents,skin - impairment,,text,,
228811,pressure ulcer #9- dressing status,pressure ulcer #9- dressing status,chartevents,skin - impairment,,text,,
224930,impaired skin site #2,site #2,chartevents,skin - impairment,,text,,
227607,impaired skin site #10,site #10,chartevents,skin - impairment,,text,,
228540,pressure ulcer #2- treatment,pressure ulcer #2- treatment,chartevents,skin - impairment,,text,,
228556,pressure ulcer #8- type,pressure ulcer #8- type,chartevents,skin - impairment,,text,,
228834,pressure ulcer #2- tunneling present,pressure ulcer #2- tunneling present,chartevents,skin - impairment,,text,,
224259,impaired skin drainage #1,site drainage #1,chartevents,skin - impairment,,text,,
224989,undermining present #5,undermining present #5,chartevents,skin - impairment,,text,,
227622,tunneling present #9,tunneling present #9,chartevents,skin - impairment,,text,,
228531,impaired skin #3- treatment,impaired skin #3- treatment,chartevents,skin - impairment,,text,,
224892,impaired skin cleanse #6,site cleanse #6,chartevents,skin - impairment,,text,,
224894,impaired skin cleanse #8,site cleanse #8,chartevents,skin - impairment,,text,,
224939,impaired skin treatment #4,site treatment #4,chartevents,skin - impairment,,text,,
228508,pressure ulcer #3- location,pressure ulcer #3- location,chartevents,skin - impairment,,text,,
228541,pressure ulcer #3- treatment,pressure ulcer #3- treatment,chartevents,skin - impairment,,text,,
228544,pressure ulcer #6- treatment,pressure ulcer #6- treatment,chartevents,skin - impairment,,text,,
228755,pressure ulcer #3- drainage,pressure ulcer #3- drainage,chartevents,skin - impairment,,text,,
228770,pressure ulcer #8- drainage amount,pressure ulcer #8- drainage amount,chartevents,skin - impairment,,text,,
228787,pressure ulcer #5- cleanse,pressure ulcer #5- cleanse,chartevents,skin - impairment,,text,,
228820,pressure ulcer #8- stage,pressure ulcer #8- stage,chartevents,skin - impairment,,text,,
228821,pressure ulcer #9- stage,pressure ulcer #9- stage,chartevents,skin - impairment,,text,,
224888,impaired skin cleanse #2,site cleanse #2,chartevents,skin - impairment,,text,,
224968,pressure ulcer stage #5,pressure ulcer stage #5,chartevents,skin - impairment,,text,,
228522,impaired skin #5- cleanse,impaired skin #5- cleanse,chartevents,skin - impairment,,text,,
228746,pressure ulcer #4- surrounding tissue,pressure ulcer #4- surrounding tissue,chartevents,skin - impairment,,text,,
228784,pressure ulcer #2- cleanse,pressure ulcer #2- cleanse,chartevents,skin - impairment,,text,,
224938,impaired skin treatment #3,site treatment #3,chartevents,skin - impairment,,text,,
224979,tunneling present #2,tunneling present #2,chartevents,skin - impairment,,text,,
224985,tunneling present #8,tunneling present #8,chartevents,skin - impairment,,text,,
228519,impaired skin #2- cleanse,impaired skin #2- cleanse,chartevents,skin - impairment,,text,,
228547,pressure ulcer #9- treatment,pressure ulcer #9- treatment,chartevents,skin - impairment,,text,,
228584,impaired skin #9- type,impaired skin #9- type,chartevents,skin - impairment,,text,,
224912,impaired skin drainage amount #5,site drainage amount #5,chartevents,skin - impairment,,text,,
227612,impaired skin type #9,type #9,chartevents,skin - impairment,,text,,
227613,impaired skin type #10,type #10,chartevents,skin - impairment,,text,,
228511,pressure ulcer #6- location,pressure ulcer #6- location,chartevents,skin - impairment,,text,,
228520,impaired skin #3- cleanse,impaired skin #3- cleanse,chartevents,skin - impairment,,text,,
228582,impaired skin #7- type,impaired skin #7- type,chartevents,skin - impairment,,text,,
224932,impaired skin site #4,site #4,chartevents,skin - impairment,,text,,
224947,impaired skin type #5,type #5,chartevents,skin - impairment,,text,,
224974,surrounding tissue #4,surrounding tissue #4,chartevents,skin - impairment,,text,,
224976,surrounding tissue #6,surrounding tissue #6,chartevents,skin - impairment,,text,,
227598,impaired skin drainage #9,site drainage #9,chartevents,skin - impairment,,text,,
227786,impaired skin  - dressing status #7,impaired skin  - dressing status #7,chartevents,skin - impairment,,text,,
228525,impaired skin #8- cleanse,impaired skin #8- cleanse,chartevents,skin - impairment,,text,,
228734,pressure ulcer #2- wound base,pressure ulcer #2- wound base,chartevents,skin - impairment,,text,,
228791,pressure ulcer #9- cleanse,pressure ulcer #9- cleanse,chartevents,skin - impairment,,text,,
228842,pressure ulcer #10- tunneling present,pressure ulcer #10- tunneling present,chartevents,skin - impairment,,text,,
224038,impaired skin treatment #1,site treatment #1,chartevents,skin - impairment,,text,,
224847,impaired skin drainage amount #1,site drainage amount #1,chartevents,skin - impairment,,text,,
224890,impaired skin cleanse #4,site cleanse #4,chartevents,skin - impairment,,text,,
227600,impaired skin drainage amount #9,site drainage amount #9,chartevents,skin - impairment,,text,,
228543,pressure ulcer #5- treatment,pressure ulcer #5- treatment,chartevents,skin - impairment,,text,,
228581,impaired skin #6- type,impaired skin #6- type,chartevents,skin - impairment,,text,,
224971,pressure ulcer stage #8,pressure ulcer stage #8,chartevents,skin - impairment,,text,,
228818,pressure ulcer #6- stage,pressure ulcer #6- stage,chartevents,skin - impairment,,text,,
228847,pressure ulcer #5- undermining present,pressure ulcer #5- undermining present,chartevents,skin - impairment,,text,,
224982,tunneling present #5,tunneling present #5,chartevents,skin - impairment,,text,,
227783,impaired skin - dressing status  #4,impaired skin  - dressing status  #4,chartevents,skin - impairment,,text,,
228534,impaired skin #6- treatment,impaired skin #6- treatment,chartevents,skin - impairment,,text,,
228607,impaired skin #8- dressing status,impaired skin #8- dressing status,chartevents,skin - impairment,,text,,
228733,pressure ulcer #1- wound base,pressure ulcer #1- wound base,chartevents,skin - impairment,,text,,
228858,impaired skin #6- type,impaired skin #6- type,chartevents,skin - impairment,,text,,
224903,impaired skin drainage #3,site drainage #3,chartevents,skin - impairment,,text,,
224909,impaired skin drainage amount #2,site drainage amount #2,chartevents,skin - impairment,,text,,
224910,impaired skin drainage amount #3,site drainage amount #3,chartevents,skin - impairment,,text,,
224972,surrounding tissue #2,surrounding tissue #2,chartevents,skin - impairment,,text,,
224988,undermining present #4,undermining present #4,chartevents,skin - impairment,,text,,
228500,impaired skin #5- location,impaired skin #5- location,chartevents,skin - impairment,,text,,
228535,impaired skin #7- treatment,impaired skin #7- treatment,chartevents,skin - impairment,,text,,
228546,pressure ulcer #8- treatment,pressure ulcer #8- treatment,chartevents,skin - impairment,,text,,
228551,pressure ulcer #3- type,pressure ulcer #3- type,chartevents,skin - impairment,,text,,
228606,impaired skin #7- dressing status,impaired skin #7- dressing status,chartevents,skin - impairment,,text,,
228814,pressure ulcer #2- stage,pressure ulcer #2- stage,chartevents,skin - impairment,,text,,
224905,impaired skin drainage #5,site drainage #5,chartevents,skin - impairment,,text,,
224906,impaired skin drainage #6,site drainage #6,chartevents,skin - impairment,,text,,
224935,impaired skin site #7,site #7,chartevents,skin - impairment,,text,,
228812,pressure ulcer #10- dressing status,pressure ulcer #10- dressing status,chartevents,skin - impairment,,text,,
228853,impaired skin #1- type,impaired skin #1- type,chartevents,skin - impairment,,text,,
224943,impaired skin treatment #8,site treatment #8,chartevents,skin - impairment,,text,,
224948,impaired skin type #6,type #6,chartevents,skin - impairment,,text,,
228516,impaired skin #1- type,impaired skin #1- type,chartevents,skin - impairment,,text,,
228521,impaired skin #4- cleanse,impaired skin #4- cleanse,chartevents,skin - impairment,,text,,
228545,pressure ulcer #7- treatment,pressure ulcer #7- treatment,chartevents,skin - impairment,,text,,
228549,pressure ulcer #1- type,pressure ulcer #1- type,chartevents,skin - impairment,,text,,
228550,pressure ulcer #2- type,pressure ulcer #2- type,chartevents,skin - impairment,,text,,
228736,pressure ulcer #4- wound base,pressure ulcer #4- wound base,chartevents,skin - impairment,,text,,
224889,impaired skin cleanse #3,site cleanse #3,chartevents,skin - impairment,,text,,
224967,pressure ulcer stage #4,pressure ulcer stage #4,chartevents,skin - impairment,,text,,
224991,undermining present #7,undermining present #7,chartevents,skin - impairment,,text,,
227609,impaired skin treatment #10,site treatment #10,chartevents,skin - impairment,,text,,
228496,impaired skin #1- location,impaired skin #1- location,chartevents,skin - impairment,,text,,
228515,pressure ulcer #10- location,pressure ulcer #10- location,chartevents,skin - impairment,,text,,
228761,pressure ulcer #9- drainage,pressure ulcer #9- drainage,chartevents,skin - impairment,,text,,
228768,pressure ulcer #6- drainage amount,pressure ulcer #6- drainage amount,chartevents,skin - impairment,,text,,
228785,pressure ulcer #3- cleanse,pressure ulcer #3- cleanse,chartevents,skin - impairment,,text,,
224032,impaired skin site #1,site #1,chartevents,skin - impairment,,text,,
224970,pressure ulcer stage #7,pressure ulcer stage #7,chartevents,skin - impairment,,text,,
228608,impaired skin #9- dressing status,impaired skin #9- dressing status,chartevents,skin - impairment,,text,,
228771,pressure ulcer #9- drainage amount,pressure ulcer #9- drainage amount,chartevents,skin - impairment,,text,,
224037,impaired skin cleanse #1,site cleanse #1,chartevents,skin - impairment,,text,,
224915,impaired skin drainage amount #8,site drainage amount #8,chartevents,skin - impairment,,text,,
227601,impaired skin drainage amount #10,site drainage amount #10,chartevents,skin - impairment,,text,,
228505,impaired skin #10- location,impaired skin #10- location,chartevents,skin - impairment,,text,,
228843,pressure ulcer #1- undermining present,pressure ulcer #1- undermining present,chartevents,skin - impairment,,text,,
224990,undermining present #6,undermining present #6,chartevents,skin - impairment,,text,,
227617,impaired skin wound base #10,site/wound base #10,chartevents,skin - impairment,,text,,
228557,pressure ulcer #9- type,pressure ulcer #9- type,chartevents,skin - impairment,,text,,
228740,pressure ulcer #8- wound base,pressure ulcer #8- wound base,chartevents,skin - impairment,,text,,
228744,pressure ulcer #2- surrounding tissue,pressure ulcer #2- surrounding tissue,chartevents,skin - impairment,,text,,
227624,undermining present #9,undermining present #9,chartevents,skin - impairment,,text,,
228510,pressure ulcer #5- location,pressure ulcer #5- location,chartevents,skin - impairment,,text,,
228579,impaired skin #4- type,impaired skin #4- type,chartevents,skin - impairment,,text,,
228583,impaired skin #8- type,impaired skin #8- type,chartevents,skin - impairment,,text,,
228604,impaired skin #5- dressing status,impaired skin #5- dressing status,chartevents,skin - impairment,,text,,
228753,pressure ulcer #1- drainage,pressure ulcer #1- drainage,chartevents,skin - impairment,,text,,
228805,pressure ulcer #3- dressing status,pressure ulcer #3- dressing status,chartevents,skin - impairment,,text,,
228844,pressure ulcer #2- undermining present,pressure ulcer #2- undermining present,chartevents,skin - impairment,,text,,
224945,impaired skin type #3,type #3,chartevents,skin - impairment,,text,,
227616,impaired skin wound base #9,site/wound base #9,chartevents,skin - impairment,,text,,
228739,pressure ulcer #7- wound base,pressure ulcer #7- wound base,chartevents,skin - impairment,,text,,
228741,pressure ulcer #9- wound base,pressure ulcer #9- wound base,chartevents,skin - impairment,,text,,
228752,pressure ulcer #10- surrounding tissue,pressure ulcer #10- surrounding tissue,chartevents,skin - impairment,,text,,
224963,impaired skin wound base #7,site/wound base #7,chartevents,skin - impairment,,text,,
224973,surrounding tissue #3,surrounding tissue #3,chartevents,skin - impairment,,text,,
227789,impaired skin  - dressing status #10,impaired skin  - dressing status #10,chartevents,skin - impairment,,text,,
228810,pressure ulcer #8- dressing status,pressure ulcer #8- dressing status,chartevents,skin - impairment,,text,,
228819,pressure ulcer #7- stage,pressure ulcer #7- stage,chartevents,skin - impairment,,text,,
228837,pressure ulcer #5- tunneling present,pressure ulcer #5- tunneling present,chartevents,skin - impairment,,text,,
228840,pressure ulcer #8- tunneling present,pressure ulcer #8- tunneling present,chartevents,skin - impairment,,text,,
224933,impaired skin site #5,site #5,chartevents,skin - impairment,,text,,
227625,undermining present #10,undermining present #10,chartevents,skin - impairment,,text,,
228501,impaired skin #6- location,impaired skin #6- location,chartevents,skin - impairment,,text,,
228513,pressure ulcer #8- location,pressure ulcer #8- location,chartevents,skin - impairment,,text,,
228585,impaired skin #10- type,impaired skin #10- type,chartevents,skin - impairment,,text,,
228772,pressure ulcer #10- drainage amount,pressure ulcer #10- drainage amount,chartevents,skin - impairment,,text,,
224226,impaired skin wound base #1,site/wound base #1,chartevents,skin - impairment,,text,,
224944,impaired skin type #2,type #2,chartevents,skin - impairment,,text,,
224958,impaired skin wound base #2,site/wound base #2,chartevents,skin - impairment,,text,,
224960,impaired skin wound base #4,site/wound base #4,chartevents,skin - impairment,,text,,
228609,impaired skin #10- dressing status,impaired skin #10- dressing status,chartevents,skin - impairment,,text,,
228804,pressure ulcer #2- dressing status,pressure ulcer #2- dressing status,chartevents,skin - impairment,,text,,
228851,pressure ulcer #9- undermining present,pressure ulcer #9- undermining present,chartevents,skin - impairment,,text,,
228852,pressure ulcer #10- undermining present,pressure ulcer #10- undermining present,chartevents,skin - impairment,,text,,
224633,undermining present #1,undermining present #1,chartevents,skin - impairment,,text,,
224904,impaired skin drainage #4,site drainage #4,chartevents,skin - impairment,,text,,
224992,undermining present #8,undermining present #8,chartevents,skin - impairment,,text,,
227623,tunneling present #10,tunneling present #10,chartevents,skin - impairment,,text,,
228841,pressure ulcer #9- tunneling present,pressure ulcer #9- tunneling present,chartevents,skin - impairment,,text,,
224911,impaired skin drainage amount #4,site drainage amount #4,chartevents,skin - impairment,,text,,
224936,impaired skin site #8,site #8,chartevents,skin - impairment,,text,,
224937,impaired skin treatment #2,site treatment #2,chartevents,skin - impairment,,text,,
228523,impaired skin #6- cleanse,impaired skin #6- cleanse,chartevents,skin - impairment,,text,,
228539,pressure ulcer #1- treatment,pressure ulcer #1- treatment,chartevents,skin - impairment,,text,,
228749,pressure ulcer #7- surrounding tissue,pressure ulcer #7- surrounding tissue,chartevents,skin - impairment,,text,,
228854,impaired skin #2- type,impaired skin #2- type,chartevents,skin - impairment,,text,,
224632,tunneling present #1,tunneling present #1,chartevents,skin - impairment,,text,,
224891,impaired skin cleanse #5,site cleanse #5,chartevents,skin - impairment,,text,,
228530,impaired skin #2- treatment,impaired skin #2- treatment,chartevents,skin - impairment,,text,,
228737,pressure ulcer #5- wound base,pressure ulcer #5- wound base,chartevents,skin - impairment,,text,,
228792,pressure ulcer #10- cleanse,pressure ulcer #10- cleanse,chartevents,skin - impairment,,text,,
228835,pressure ulcer #3- tunneling present,pressure ulcer #3- tunneling present,chartevents,skin - impairment,,text,,
228846,pressure ulcer #4- undermining present,pressure ulcer #4- undermining present,chartevents,skin - impairment,,text,,
224893,impaired skin cleanse #7,site cleanse #7,chartevents,skin - impairment,,text,,
224913,impaired skin drainage amount #6,site drainage amount #6,chartevents,skin - impairment,,text,,
224940,impaired skin treatment #5,site treatment #5,chartevents,skin - impairment,,text,,
228504,impaired skin #9- location,impaired skin #9- location,chartevents,skin - impairment,,text,,
