itemid,label,fluid,category
51895,"strep a, rapid antigen",other body fluid,chemistry
51843,c. diff pcr,other body fluid,chemistry
51042,"sodium, body fluid",other body fluid,chemistry
51893,staph aureus pcr,other body fluid,chemistry
51036,"lipase, body fluid",other body fluid,chemistry
51829,72 hr fat,other body fluid,chemistry
51857,fl scan,other body fluid,chemistry
53115,rsv2,other body fluid,chemistry
51027,"bicarbonate, other fluid",other body fluid,chemistry
51033,fetalfn,other body fluid,chemistry
51037,"magnesium, body fluid",other body fluid,chemistry
51870,"influenza a, rapid antigen",other body fluid,chemistry
53114,rsv1,other body fluid,chemistry
51847,clostrid,other body fluid,chemistry
51881,norovirus genogroup ii,other body fluid,chemistry
51854,cryptococ,other body fluid,chemistry
51899,trichomonas vaginalis,other body fluid,chemistry
51839,anat path hold,other body fluid,chemistry
53099,cov12,other body fluid,chemistry
53110,flub2,other body fluid,chemistry
51862,"immunoglobulin g, body fluid",other body fluid,chemistry
51889,phosphatidylglycerol,other body fluid,chemistry
51038,"miscellaneous, body fluid",other body fluid,chemistry
53098,cov11,other body fluid,chemistry
53107,flua1,other body fluid,chemistry
53113,rapid respiratory syncytial virus,other body fluid,chemistry
51029,"calcium, body fluid",other body fluid,chemistry
51026,"amylase, body fluid",other body fluid,chemistry
51028,"bilirubin, total, body fluid",other body fluid,chemistry
51040,"phosphate, body fluid",other body fluid,chemistry
53106,e gene endpt,other body fluid,chemistry
51035,"ld, body fluid",other body fluid,chemistry
51833,"afp, amniotic fluid",other body fluid,chemistry
51901,voided specimen,other body fluid,chemistry
51887,"pep, body fluid",other body fluid,chemistry
53105,e gene ct,other body fluid,chemistry
51045,"urea nitrogen, body fluid",other body fluid,chemistry
51831,acid mao,other body fluid,chemistry
51872,influenza b by pcr,other body fluid,chemistry
51031,"cholesterol, body fluid",other body fluid,chemistry
51842,bun,other body fluid,chemistry
51856,epr,other body fluid,chemistry
51897,surfactant/albumin,other body fluid,chemistry
51907,reuse1,other body fluid,chemistry
51874,"influenza b, rapid antigen",other body fluid,chemistry
51905,,other body fluid,chemistry
51044,triglycer,other body fluid,chemistry
53109,flub1,other body fluid,chemistry
53112,n2 gene endpt,other body fluid,chemistry
51880,norovirus genogroup i,other body fluid,chemistry
51835,(albumi,other body fluid,chemistry
51030,"chloride, body fluid",other body fluid,chemistry
51896,sudan stain,other body fluid,chemistry
51837,alpha-1,other body fluid,chemistry
51844,c diff toxin antigen assay,other body fluid,chemistry
51846,chlamydia trachomatis,other body fluid,chemistry
51875,"influenza b, rapid antigen",other body fluid,chemistry
51855,"dspc, amniotic fluid",other body fluid,chemistry
53108,flua2,other body fluid,chemistry
51041,"potassium, body fluid",other body fluid,chemistry
51904,pan2,other body fluid,chemistry
51902,vpf,other body fluid,chemistry
51906,reuse,other body fluid,chemistry
51032,"creatinine, body fluid",other body fluid,chemistry
51898,surf/alb,other body fluid,chemistry
51834,"afp, body fluid",other body fluid,chemistry
51039,"osmolality, body fluid",other body fluid,chemistry
51888,"pep, body fluid, gamma region",other body fluid,chemistry
51900,"uric acid, body fluid",other body fluid,chemistry
53100,cov13,other body fluid,chemistry
53111,n2 gene ct,other body fluid,chemistry
53097,cov10,other body fluid,chemistry
51043,"total protein, body fluid",other body fluid,chemistry
51873,influenza b by pcr,other body fluid,chemistry
51903,pan1,other body fluid,chemistry
51034,"glucose, body fluid",other body fluid,chemistry
51864,influenza a by pcr,other body fluid,chemistry
51836,<albumin>,other body fluid,chemistry
51830,acid bao,other body fluid,chemistry
51879,neisseria gonorrhoeae,other body fluid,chemistry
51799,"pep, csf, gamma region",cerebrospinal fluid,chemistry
51785,"cholesterol, csf",cerebrospinal fluid,chemistry
51800,"potassium, csf",cerebrospinal fluid,chemistry
51795,"lactate dehydrogenase, csf",cerebrospinal fluid,chemistry
51790,"glucose, csf",cerebrospinal fluid,chemistry
51788,cryptococ,cerebrospinal fluid,chemistry
51794,"immunoglobulin g, csf",cerebrospinal fluid,chemistry
51806,voided specimen,cerebrospinal fluid,chemistry
51789,fl scan,cerebrospinal fluid,chemistry
51793,"immunoglobulin g, csf",cerebrospinal fluid,chemistry
51796,"miscellaneous, csf",cerebrospinal fluid,chemistry
51787,"creatinine, csf",cerebrospinal fluid,chemistry
51802,"total protein, csf",cerebrospinal fluid,chemistry
51778,alpha-1,cerebrospinal fluid,chemistry
51779,alpha-2,cerebrospinal fluid,chemistry
51792,"immunoelectrophoresis, csf",cerebrospinal fluid,chemistry
51780,"amylase, csf",cerebrospinal fluid,chemistry
51782,"bicarbonate, csf",cerebrospinal fluid,chemistry
51805,"uric acid, csf",cerebrospinal fluid,chemistry
51783,"bilirubin, total, csf",cerebrospinal fluid,chemistry
51776,<albumin>,cerebrospinal fluid,chemistry
51775,(albumin),cerebrospinal fluid,chemistry
51777,"albumin, csf",cerebrospinal fluid,chemistry
51801,"sodium, csf",cerebrospinal fluid,chemistry
51798,"pep, csf",cerebrospinal fluid,chemistry
51786,clostrid,cerebrospinal fluid,chemistry
51797,"osmolality, csf",cerebrospinal fluid,chemistry
51784,"chloride, csf",cerebrospinal fluid,chemistry
51791,hiv 1 viral load,cerebrospinal fluid,chemistry
51803,"triglycerides, csf",cerebrospinal fluid,chemistry
51804,"urea nitrogen, csf",cerebrospinal fluid,chemistry
51781,beta,cerebrospinal fluid,chemistry
52290,dna,i,hematology
52398,fl2-%fl1,q,hematology
52397,fl2-d,q,hematology
52401,ssc-d,q,hematology
52396,fl1-s,q,hematology
52402,ssc-s,q,hematology
52395,fl1-%fl2,q,hematology
52400,fsc-s,q,hematology
52394,fl1-d,q,hematology
52399,fl2-s,q,hematology
51138,anticardiolipin antibody igg,blood,hematology
51163,cd16/56%,blood,hematology
51201,epinepherine,blood,hematology
51229,"heparin, lmw",blood,hematology
51254,monocytes,blood,hematology
51259,other cells,blood,hematology
52145,mono spot test,blood,hematology
52169,qfib,blood,hematology
52205,retscat,blood,hematology
52769,absolute lymphocyte count,blood,hematology
52853,factor xii,blood,hematology
51155,cd11c,blood,hematology
51267,poikilocytosis,blood,hematology
51273,"protein s, functional",blood,hematology
51280,reptilase time,blood,hematology
52092,cd56 %,blood,hematology
52130,histiocytes,blood,hematology
52138,kct,blood,hematology
52154,p2y12 reaction units,blood,hematology
52934,"reticulocyte count, manual",blood,hematology
51189,cd57,blood,hematology
51205,factor vii,blood,hematology
51252,microcytes,blood,hematology
51279,red blood cells,blood,hematology
51291,sickle cells,blood,hematology
52083,autohem+g,blood,hematology
52186,test,blood,hematology
51167,cd2,blood,hematology
52098,clot lysis,blood,hematology
52113,factor ix inhibitor,blood,hematology
52189,thrombin time control,blood,hematology
52204,rbcdist,blood,hematology
51187,cd55,blood,hematology
51230,hla-dr,blood,hematology
51233,hypochromia,blood,hematology
52135,immature granulocytes,blood,hematology
52181,stomatocyte,blood,hematology
52195,voided specimen,blood,hematology
51224,hemoglobin c,blood,hematology
51276,quantitative g6pd,blood,hematology
52082,aspirin reactivity,blood,hematology
52096,chloroacetate,blood,hematology
52144,methemoglobin,blood,hematology
52146,naphtol acetate stain,blood,hematology
52163,pt control,blood,hematology
51180,"cd4 cells, percent",blood,hematology
52077,acidserum,blood,hematology
52102,crenated cells,blood,hematology
52103,cross imm,blood,hematology
52147,neutx,blood,hematology
52156,peroxidase staining,blood,hematology
52159,platelet aggregation,blood,hematology
51135,adp,blood,hematology
51153,cd103,blood,hematology
51268,polychromasia,blood,hematology
52203,rbcagg,blood,hematology
52208,basoflg,blood,hematology
51143,atypical lymphocytes,blood,hematology
51147,bite cells,blood,hematology
51184,cd5,blood,hematology
51196,d-dimer,blood,hematology
51199,eosinophil count,blood,hematology
52173,red blood cell enzyme,blood,hematology
52215,atlflg,blood,hematology
51154,cd117,blood,hematology
52115,fibrinoge,blood,hematology
52182,sudan black staining,blood,hematology
51142,arachadonic acid,blood,hematology
51177,cd33,blood,hematology
51178,cd34,blood,hematology
51217,glyco a,blood,hematology
51244,lymphocytes,blood,hematology
52153,other inhibitor,blood,hematology
52174,"reptilase time, control",blood,hematology
52188,thrombin time control,blood,hematology
51150,blood parasite smear,blood,hematology
51169,cd20 %,blood,hematology
51227,hemogloblin s,blood,hematology
51272,"protein s, antigen",blood,hematology
51290,sickle cell preparation,blood,hematology
52072,absolute cd56 count,blood,hematology
52084,autohem-g,blood,hematology
52219,wbcscat,blood,hematology
51186,cd5 absolute count,blood,hematology
51188,cd56,blood,hematology
51245,"lymphocytes, percent",blood,hematology
52095,cd62,blood,hematology
52120,fitzgerld,blood,hematology
52160,prekallekrein,blood,hematology
52178,sct - normalized ratio,blood,hematology
52187,thrombin time,blood,hematology
52921,pt,blood,hematology
52126,heinz aph,blood,hematology
52190,tissue thromboplastin inhibitor,blood,hematology
51132,absolute cd8 count,blood,hematology
51140,antithrombin,blood,hematology
51141,apt test,blood,hematology
51212,fetal hemoglobin,blood,hematology
51214,"fibrinogen, functional",blood,hematology
51235,inhibitor screen,blood,hematology
52093,cd56 absolute count,blood,hematology
52139,le prep,blood,hematology
52210,leftshf,blood,hematology
51270,"protein c, antigen",blood,hematology
52091,cd52,blood,hematology
52111,echinocytes,blood,hematology
51202,factor ii,blood,hematology
51234,immunophenotyping,blood,hematology
51255,myelocytes,blood,hematology
52086,bleed tm,blood,hematology
52129,hemoglobin other,blood,hematology
52200,pltdist,blood,hematology
52206,retflg,blood,hematology
51208,factor x,blood,hematology
51226,hemogloblin a,blood,hematology
52107,drvvt - confirmation,blood,hematology
52136,inhibitor,blood,hematology
52786,bleeding time,blood,hematology
51146,basophils,blood,hematology
51182,cd41,blood,hematology
51260,ovalocytes,blood,hematology
51139,anticardiolipin antibody igm,blood,hematology
52116,fibrinogen,blood,hematology
52162,protein s,blood,hematology
52172,rdw-sd,blood,hematology
52192,trap stain,blood,hematology
51210,factor xii,blood,hematology
51240,large platelets,blood,hematology
51249,mchc,blood,hematology
51258,osmotic fragility,blood,hematology
51281,reptilase time control,blood,hematology
52068,24 hr,blood,hematology
52220,wbcp,blood,hematology
51174,cd3 %,blood,hematology
51176,"cd3 cells, percent",blood,hematology
51269,promyelocytes,blood,hematology
52168,pyruvate kinase,blood,hematology
51134,acanthocytes,blood,hematology
51215,fmc-7,blood,hematology
51264,platelet clumps,blood,hematology
51283,"reticulocyte count, automated",blood,hematology
52152,"osmotic fragility, incubated",blood,hematology
52948,thrombin,blood,hematology
51162,cd16/56 absolute count,blood,hematology
51181,cd4/cd8 ratio,blood,hematology
51203,factor ix,blood,hematology
51253,monocyte count,blood,hematology
52071,absolute cd20 count,blood,hematology
52080,asd,blood,hematology
52201,pltscat,blood,hematology
51158,cd14,blood,hematology
51168,cd20,blood,hematology
51237,inr(pt),blood,hematology
51295,tdt,blood,hematology
52081,asd & na-f,blood,hematology
52108,drvvt - normalized ratio,blood,hematology
52150,non-specific esterase,blood,hematology
52171,rbc morphology,blood,hematology
51164,cd19,blood,hematology
51170,cd20 absolute count,blood,hematology
51231,howell-jolly bodies,blood,hematology
51278,red blood cell fragments,blood,hematology
51299,von willebrand factor antigen,blood,hematology
52094,cd61,blood,hematology
52124,g6pd spec,blood,hematology
52185,tcr gamma-delta,blood,hematology
52212,monoflg,blood,hematology
52213,nrbcflg,blood,hematology
52858,fibrin degradation products,blood,hematology
51157,cd138,blood,hematology
51171,cd22,blood,hematology
51179,cd38,blood,hematology
51133,absolute lymphocyte count,blood,hematology
51197,elliptocytes,blood,hematology
51211,factor xiii,blood,hematology
52164,pt mean,blood,hematology
52199,fragflg,blood,hematology
52218,ig flg,blood,hematology
52840,factor ix,blood,hematology
51136,alpha antiplasmin,blood,hematology
51145,basophilic stippling,blood,hematology
51195,collagen,blood,hematology
52087,cd15/56,blood,hematology
52176,rouleaux,blood,hematology
52202,pltclmp,blood,hematology
51183,cd45,blood,hematology
51241,leukocyte alkaline phosphatase,blood,hematology
52085,bleed tm,blood,hematology
52101,cr,blood,hematology
52109,drvvt - screen,blood,hematology
52128,hemoglobin h inclusion,blood,hematology
52141,malaria smear,blood,hematology
52155,periodic acid schiff stain,blood,hematology
52844,factor vii,blood,hematology
51185,cd5 %,blood,hematology
51198,envelope cells,blood,hematology
51222,hemoglobin,blood,hematology
51284,"reticulocyte count, manual",blood,hematology
52184,tcr alpha-beta,blood,hematology
52193,viii ag,blood,hematology
51243,lupus anticoagulant,blood,hematology
51251,metamyelocytes,blood,hematology
51285,"reticulocyte, cellular hemoglobin",blood,hematology
52099,clot retraction,blood,hematology
52132,hit-ab numerical result,blood,hematology
52177,sct - confirmation,blood,hematology
52838,factor ii,blood,hematology
51131,absolute cd4 count,blood,hematology
51262,pencil cells,blood,hematology
51265,platelet count,blood,hematology
52088,cd 1a,blood,hematology
52089,cd30,blood,hematology
52161,problem specimen,blood,hematology
52207,turbhbi,blood,hematology
52842,factor v,blood,hematology
51207,factor viii inhibitor,blood,hematology
51221,hematocrit,blood,hematology
51223,hemoglobin a2,blood,hematology
51277,rdw,blood,hematology
51287,schistocytes,blood,hematology
51292,spherocytes,blood,hematology
51298,von willebrand factor activity,blood,hematology
52125,glutathione,blood,hematology
52157,plasma hemoglobin,blood,hematology
52191,tr- acid,blood,hematology
52214,abnlymp,blood,hematology
52846,factor viii,blood,hematology
51130,absolute cd3 count,blood,hematology
51271,"protein c, functional",blood,hematology
51302,young cells,blood,hematology
52069,absolute basophil count,blood,hematology
52122,fsp,blood,hematology
52148,neuty,blood,hematology
52170,rbc,blood,hematology
52196,wam manual diff,blood,hematology
52851,factor xi,blood,hematology
52855,factor xiii,blood,hematology
51156,cd13,blood,hematology
51175,cd3 absolute count,blood,hematology
52097,circ ab,blood,hematology
52106,donath-l,blood,hematology
52112,euglobulin lysis,blood,hematology
52216,blasflg,blood,hematology
51213,fibrin degradation products,blood,hematology
51257,nucleated red cells,blood,hematology
51300,wbc count,blood,hematology
52075,absolute neutrophil count,blood,hematology
52105,direct antiplatelet antibodies,blood,hematology
52123,"g6pd, qualitative",blood,hematology
52131,hit-ab interpreted result,blood,hematology
52179,sct - screen,blood,hematology
51137,anisocytosis,blood,hematology
51152,cd10,blood,hematology
51200,eosinophils,blood,hematology
51266,platelet smear,blood,hematology
52073,absolute eosinophil count,blood,hematology
52140,ls,blood,hematology
52849,factor x,blood,hematology
51149,bleeding time,blood,hematology
51236,inpatient hematology/oncology smear,blood,hematology
51294,target cells,blood,hematology
51296,teardrop cells,blood,hematology
52175,ristocetin response,blood,hematology
52197,wam manual diff 2,blood,hematology
52198,erytflg,blood,hematology
51144,bands,blood,hematology
51218,granulocyte count,blood,hematology
51232,hypersegmented neutrophils,blood,hematology
51238,kappa,blood,hematology
51239,lambda,blood,hematology
51256,neutrophils,blood,hematology
51297,thrombin,blood,hematology
52104,cryoglob,blood,hematology
52110,dsmear,blood,hematology
52137,inh scr,blood,hematology
52180,sta-clot,blood,hematology
51166,cd19 absolute count,blood,hematology
51191,cd64,blood,hematology
51225,hemoglobin f,blood,hematology
51286,ristocetin,blood,hematology
51288,sedimentation rate,blood,hematology
51172,cd23,blood,hematology
51190,cd59,blood,hematology
51247,macroovalocytes,blood,hematology
52133,hmwk,blood,hematology
52158,plasminogen,blood,hematology
51165,cd19 %,blood,hematology
51250,mcv,blood,hematology
51274,pt,blood,hematology
51293,sugar water test,blood,hematology
52078,antithrombin iii,blood,hematology
52165,ptt control,blood,hematology
52166,ptt-la,blood,hematology
51220,heinz body prep,blood,hematology
51242,luc,blood,hematology
51263,plasma cells,blood,hematology
51275,ptt,blood,hematology
52119,fitzgerld,blood,hematology
52127,helmet cells,blood,hematology
52183,sulf hgb,blood,hematology
51204,factor v,blood,hematology
51219,h/o smear,blood,hematology
51261,pappenheimer bodies,blood,hematology
52167,ptt mea,blood,hematology
52889,lupus anticoagulant,blood,hematology
52929,reptilase time,blood,hematology
52070,absolute cd19 count,blood,hematology
52114,factor viii antigen,blood,hematology
52117,"fibrinogen, immunologic",blood,hematology
52209,eosflg,blood,hematology
52217,bl/ably,blood,hematology
51161,cd16,blood,hematology
51209,factor xi,blood,hematology
51228,heparin,blood,hematology
52090,cd42,blood,hematology
52149,nfletcher,blood,hematology
52151,nrbc,blood,hematology
52211,lymflg,blood,hematology
51159,cd15,blood,hematology
51193,cd71,blood,hematology
51216,fragmented cells,blood,hematology
52079,asa tol,blood,hematology
52143,methemalb,blood,hematology
52194,viii-cie,blood,hematology
51148,blasts,blood,hematology
51192,cd7,blood,hematology
51206,factor viii,blood,hematology
51248,mch,blood,hematology
51282,"reticulocyte count, absolute",blood,hematology
51289,serum viscosity,blood,hematology
51301,white blood cells,blood,hematology
52074,absolute monocyte count,blood,hematology
52100,clot time,blood,hematology
52142,mean platelet volume,blood,hematology
52923,ptt,blood,hematology
51173,cd25,blood,hematology
51194,"cd8 cells, percent",blood,hematology
51246,macrocytes,blood,hematology
52076,acid phosphatase stain,blood,hematology
52121,fletcher,blood,hematology
52134,ig,blood,hematology
52403,bile,stool,hematology
52406,voided specimen,stool,hematology
52405,prblm,stool,hematology
52407,wbc,stool,hematology
51460,"blood, occult",stool,hematology
52404,fat,stool,hematology
51476,epithelial cells,urine,hematology
52425,xucu,urine,hematology
52423,skip,urine,hematology
52416,myoglobin,urine,hematology
51491,ph,urine,hematology
51479,granular casts,urine,hematology
51502,trichomonas,urine,hematology
52424,rfxucu,urine,hematology
52408,bacturia,urine,hematology
52419,voided specimen,urine,hematology
51467,broad casts,urine,hematology
51477,free fat,urine,hematology
51483,hyphenated yeast,urine,hematology
51501,transitional epithelial cells,urine,hematology
51503,triple phosphate crystals,urine,hematology
51511,urine fat bodies,urine,hematology
51474,eosinophils,urine,hematology
51462,amorphous crystals,urine,hematology
51465,bilirubin crystals,urine,hematology
51473,cysteine crystals,urine,hematology
51509,urine comments,urine,hematology
51514,urobilinogen,urine,hematology
51461,ammonium biurate,urine,hematology
51478,glucose,urine,hematology
51485,leucine crystals,urine,hematology
51496,"reducing substances, urine",urine,hematology
52426,ucu1,urine,hematology
51510,"urine crystals, other",urine,hematology
51468,calcium carbonate crystals,urine,hematology
51463,bacteria,urine,hematology
51504,tyrosine crystals,urine,hematology
52418,problem specimen,urine,hematology
52422,run,urine,hematology
51464,bilirubin,urine,hematology
51499,sperm,urine,hematology
52411,hgb,urine,hematology
51472,cholesterol crystals,urine,hematology
51481,hemosiderin,urine,hematology
51512,urine mucous,urine,hematology
52412,hpf,urine,hematology
52413,leuks,urine,hematology
51508,urine color,urine,hematology
51482,hyaline casts,urine,hematology
51489,nonsquamous epithelial cell,urine,hematology
52410,fatty casts,urine,hematology
52409,budding yeast,urine,hematology
51466,blood,urine,hematology
51488,non-squamous epithelial cells,urine,hematology
52427,ucu2,urine,hematology
51487,nitrite,urine,hematology
51492,protein,urine,hematology
51500,sulfonamides,urine,hematology
51498,specific gravity,urine,hematology
51490,oval fat body,urine,hematology
52414,leuks,urine,hematology
51475,epithelial casts,urine,hematology
51495,rbc clumps,urine,hematology
51497,renal epithelial cells,urine,hematology
51484,ketone,urine,hematology
51517,wbc casts,urine,hematology
51469,calcium oxalate crystals,urine,hematology
51493,rbc,urine,hematology
51505,uric acid crystals,urine,hematology
51519,yeast,urine,hematology
51470,calcium phosphate crystals,urine,hematology
51506,urine appearance,urine,hematology
52420,zzdummy,urine,hematology
52421,gate,urine,hematology
51471,cellular cast,urine,hematology
51494,rbc casts,urine,hematology
52415,lpf,urine,hematology
51513,urine specimen type,urine,hematology
51515,waxy casts,urine,hematology
51507,"urine casts, other",urine,hematology
51516,wbc,urine,hematology
51518,wbc clumps,urine,hematology
52417,pku,urine,hematology
51480,hematocrit,urine,hematology
51486,leukocytes,urine,hematology
51127,"rbc, ascites",ascites,hematology
51113,blasts,ascites,hematology
52054,histiocyte,ascites,hematology
52063,polys#,ascites,hematology
51119,metamyelocytes,ascites,hematology
51123,other,ascites,hematology
51117,macrophage,ascites,hematology
52067,young#,ascites,hematology
51116,lymphocytes,ascites,hematology
51125,polys,ascites,hematology
51110,atypical lymphocytes,ascites,hematology
52062,plasma#,ascites,hematology
51118,mesothelial cell,ascites,hematology
51111,bands,ascites,hematology
51120,monocytes,ascites,hematology
52066,voided specimen,ascites,hematology
52065,"total nucleated cells, ascites",ascites,hematology
52064,promyelo#,ascites,hematology
52052,eos#,ascites,hematology
52051,blasts#,ascites,hematology
52059,monos#,ascites,hematology
51126,promyelocytes,ascites,hematology
51115,"hematocrit, ascites",ascites,hematology
51114,eosinophils,ascites,hematology
52055,hyperseg,ascites,hematology
52061,nuc rbcs#,ascites,hematology
52053,histio#,ascites,hematology
52060,myelos#,ascites,hematology
52048,atyps#,ascites,hematology
52050,basos#,ascites,hematology
52057,lymphs#,ascites,hematology
51112,basophils,ascites,hematology
52058,metas#,ascites,hematology
52056,hyperseg#,ascites,hematology
51122,nucleated rbc,ascites,hematology
51129,young,ascites,hematology
51124,plasma,ascites,hematology
52049,bands#,ascites,hematology
51121,myelocytes,ascites,hematology
51448,mesothelial cells,pleural,hematology
52375,atyps#,pleural,hematology
52388,plasma#,pleural,hematology
51453,other,pleural,hematology
52381,histiocytes,pleural,hematology
51454,plasma cells,pleural,hematology
52384,lymphs#,pleural,hematology
52392,voided specimen,pleural,hematology
51455,polys,pleural,hematology
52377,basos#,pleural,hematology
51449,metamyelocytes,pleural,hematology
51442,basophils,pleural,hematology
51440,atypical lymphocytes,pleural,hematology
51444,eosinophils,pleural,hematology
52378,blasts#,pleural,hematology
51457,"rbc, pleural",pleural,hematology
51441,bands,pleural,hematology
51450,monos,pleural,hematology
51445,"hematocrit, pleural",pleural,hematology
52387,myelos#,pleural,hematology
52390,promyelocytes#,pleural,hematology
51452,nrbc,pleural,hematology
52379,eos#,pleural,hematology
52382,hypersegmented  neutrophils#,pleural,hematology
52391,"total nucleated cells, pleural",pleural,hematology
51443,blasts,pleural,hematology
51459,young cells,pleural,hematology
52383,hypersegmented neutrophils,pleural,hematology
52389,polys#,pleural,hematology
51456,promyelocytes,pleural,hematology
51446,lymphocytes,pleural,hematology
52393,young#,pleural,hematology
51447,macrophages,pleural,hematology
51451,myelocytes,pleural,hematology
52380,histiocyte#,pleural,hematology
52376,bands#,pleural,hematology
52385,metas#,pleural,hematology
53083,nrbc,pleural,hematology
52386,monos#,pleural,hematology
51304,cd103,bone marrow,hematology
51322,cd38,bone marrow,hematology
52324,cd62,bone marrow,hematology
51320,cd33,bone marrow,hematology
52323,cd61,bone marrow,hematology
52331,tcr alpha-beta,bone marrow,hematology
51314,cd2,bone marrow,hematology
51316,cd22,bone marrow,hematology
51321,cd34,bone marrow,hematology
51331,cd64,bone marrow,hematology
52318,asd&na-f,bone marrow,hematology
52320,cd30,bone marrow,hematology
51317,cd23,bone marrow,hematology
51335,fmc-7,bone marrow,hematology
52325,chloroacetate esterase,bone marrow,hematology
52317,asd,bone marrow,hematology
51339,iron stain,bone marrow,hematology
52328,periodic schiff stain,bone marrow,hematology
51307,cd13,bone marrow,hematology
51330,cd59,bone marrow,hematology
52955,cd10,bone marrow,hematology
52326,naphthol acetate stain,bone marrow,hematology
51306,cd11c,bone marrow,hematology
51324,cd41,bone marrow,hematology
51308,cd138,bone marrow,hematology
51328,cd56,bone marrow,hematology
52333,tr-acid,bone marrow,hematology
51309,cd14,bone marrow,hematology
51312,cd16/56,bone marrow,hematology
52319,cd 1a,bone marrow,hematology
52316,acid phosphatase stain,bone marrow,hematology
52992,iron stain,bone marrow,hematology
51305,cd117,bone marrow,hematology
51318,cd25,bone marrow,hematology
51323,cd4,bone marrow,hematology
51336,glyco a,bone marrow,hematology
51340,kappa,bone marrow,hematology
51334,cd8,bone marrow,hematology
52322,cd52,bone marrow,hematology
52321,cd42,bone marrow,hematology
51311,cd16,bone marrow,hematology
51327,cd55,bone marrow,hematology
52335,tdt,bone marrow,hematology
52332,tcr gamma-delta,bone marrow,hematology
51337,hla-dr,bone marrow,hematology
52334,voided specimen,bone marrow,hematology
51303,cd10,bone marrow,hematology
51333,cd71,bone marrow,hematology
51338,immunophenotyping,bone marrow,hematology
51326,cd5,bone marrow,hematology
51342,wright giemsa,bone marrow,hematology
52330,sudan black stain,bone marrow,hematology
51329,cd57,bone marrow,hematology
51319,cd3,bone marrow,hematology
51341,lambda,bone marrow,hematology
51313,cd19,bone marrow,hematology
52329,peroxidase stain,bone marrow,hematology
51310,cd15,bone marrow,hematology
51315,cd20,bone marrow,hematology
51332,cd7,bone marrow,hematology
52327,naphthol butryrate,bone marrow,hematology
51325,cd45,bone marrow,hematology
52305,myelocytes,joint fluid,hematology
52300,hypersegmented neutrophils #,joint fluid,hematology
52311,promyelocytes,joint fluid,hematology
52295,blasts#,joint fluid,hematology
51372,"joint crystals, location",joint fluid,hematology
52302,lymphs#,joint fluid,hematology
52314,young,joint fluid,hematology
51366,bands,joint fluid,hematology
51375,lymphocytes,joint fluid,hematology
52297,histio#,joint fluid,hematology
51369,"hematocrit, joint fluid",joint fluid,hematology
51370,"joint crystals, birefringence",joint fluid,hematology
52294,blasts,joint fluid,hematology
52291,atyps#,joint fluid,hematology
51380,nrbc,joint fluid,hematology
51383,"rbc, joint fluid",joint fluid,hematology
52315,young#,joint fluid,hematology
51376,macrophage,joint fluid,hematology
52304,monos#,joint fluid,hematology
52312,"total nucleated cells, joint",joint fluid,hematology
51379,monocytes,joint fluid,hematology
51365,atypical lymphocytes,joint fluid,hematology
51371,"joint crystals, comment",joint fluid,hematology
52306,myelos#,joint fluid,hematology
53012,nrbc,joint fluid,hematology
52298,histiocyte,joint fluid,hematology
52301,lining cell,joint fluid,hematology
51377,mesothelial cells,joint fluid,hematology
52313,voided specimen,joint fluid,hematology
51367,basophils,joint fluid,hematology
51378,metamyelocytes,joint fluid,hematology
52299,hypersegmented neutrophils,joint fluid,hematology
52308,plasma#,joint fluid,hematology
51374,"joint crystals, shape",joint fluid,hematology
52296,eos#,joint fluid,hematology
52310,promyelo#,joint fluid,hematology
51373,"joint crystals, number",joint fluid,hematology
52309,polys#,joint fluid,hematology
51368,eosinophils,joint fluid,hematology
52293,basos#,joint fluid,hematology
51382,polys,joint fluid,hematology
52307,plasma,joint fluid,hematology
51381,other,joint fluid,hematology
52292,bands#,joint fluid,hematology
52303,metas#,joint fluid,hematology
51393,cd138,other body fluid,hematology
52372,young#,other body fluid,hematology
52367,tcr alpha-beta,other body fluid,hematology
51391,cd11c,other body fluid,hematology
51403,cd25,other body fluid,hematology
51409,cd4/cd8 ratio,other body fluid,hematology
51396,cd16,other body fluid,hematology
51389,cd103,other body fluid,hematology
52339,blasts,other body fluid,hematology
51394,cd14,other body fluid,hematology
51398,cd19,other body fluid,hematology
51399,cd2,other body fluid,hematology
51427,lymphocytes,other body fluid,hematology
52340,blasts#,other body fluid,hematology
52349,chloroac,other body fluid,hematology
51385,atypical lymphocytes,other body fluid,hematology
52358,lining cell,other body fluid,hematology
51432,myelocytes,other body fluid,hematology
51412,cd5,other body fluid,hematology
51410,cd41,other body fluid,hematology
52364,plasma#,other body fluid,hematology
51413,cd56,other body fluid,hematology
51421,glyco a,other body fluid,hematology
52336,atyps#,other body fluid,hematology
52342,cd30,other body fluid,hematology
52346,cd59,other body fluid,hematology
52356,hypersegmented neutrophils#,other body fluid,hematology
52360,metamyelocytes#,other body fluid,hematology
51436,polys,other body fluid,hematology
52350,eos#,other body fluid,hematology
52359,lymphs#,other body fluid,hematology
52371,young,other body fluid,hematology
52355,hypersegmented neutrophils,other body fluid,hematology
52363,nrbc#,other body fluid,hematology
52337,bands#,other body fluid,hematology
51430,metamyelocytes,other body fluid,hematology
52354,histiocytes,other body fluid,hematology
52370,voided specimen,other body fluid,hematology
51408,cd4,other body fluid,hematology
51422,"hematocrit, other fluid",other body fluid,hematology
51429,mesothelial cells,other body fluid,hematology
51434,other cell,other body fluid,hematology
